time,pelvis_tx,pelvis_ty,pelvis_tilt,q_hip_r,q_knee_r,q_ankle_r,q_hip_l,q_knee_l,q_ankle_l
0.0,0.0,0.03189683333039284,-0.03570224717259407,0.33731958270072937,-0.08280958980321884,-0.03725001588463783,-0.16529010236263275,-0.2500174343585968,0.14824773371219635
0.01,0.012,0.03101186740995147,-0.03163052910701871,0.3323787270220483,-0.10481435236163915,-0.05784360929163606,-0.16998422472627356,-0.273505000292305,0.14101198250691419
0.02,0.024,0.0302794682374093,-0.02718729793879032,0.32519315695905726,-0.12436934209778915,-0.07495184564691486,-0.17331284972142072,-0.30006966997837475,0.13082215437264616
0.03,0.036,0.029721648631264936,-0.02268055934218985,0.31775737004872434,-0.1446286084002315,-0.08547648444773012,-0.17425426424097962,-0.3306318233916768,0.11727676403539136
0.04,0.048,0.029362212545071573,-0.01832787747820173,0.31107912776807467,-0.16748139239102441,-0.08432017745495413,-0.17196893434639665,-0.36590329197733,0.09956143338214465
0.05,0.06,0.029217086363931173,-0.014386605054193757,0.30526771485983434,-0.19201974696432506,-0.07453288438495116,-0.16561834559845118,-0.40639223519274476,0.07653806542867081
0.06,0.072,0.029261627200943538,-0.011658702137178534,0.30325117444677363,-0.22182850592839368,-0.05377788035112727,-0.15339348489135232,-0.4529217615202776,0.047040815356925524
0.07,0.084,0.029520679235484758,-0.009479552910614059,0.30128817458621854,-0.2507159491226076,-0.029651609235402773,-0.1366693043991629,-0.5037394647879502,0.008610459768147435
0.08,0.096,0.02998988736384188,-0.007349272300301397,0.2965169516117222,-0.2738178137909907,-0.008919086378078917,-0.11685138393162753,-0.5564826967708068,-0.04123362334867052
0.09,0.108,0.030631572631560914,-0.00530350696664708,0.28898982031986686,-0.2911283719354397,0.008479513321280063,-0.0948234609565086,-0.6083294866632265,-0.10475911716985208
0.1,0.12,0.03140136869169438,-0.0035215573971663027,0.27952484396526545,-0.3037597081674717,0.023287787353508945,-0.0714870424325729,-0.656224189608976,-0.1836362300482358
0.11,0.132,0.03218677911434181,-0.002133777013239161,0.26912991797557706,-0.3132919498986839,0.03661839494580893,-0.046946489936106735,-0.7019117807522018,-0.263282657833284
0.12,0.144,0.03286247594786451,-0.0010142388560654045,0.2582561430424092,-0.32098236219041987,0.050044925734919046,-0.020947125824761197,-0.7512536496654902,-0.31533649042759687
0.13,0.156,0.03347101701019253,5.1856225856817575e-05,0.2464267460992053,-0.3265013441488502,0.06352390448415114,0.0058409161571681125,-0.8039228386808317,-0.33922408629875556
0.14,0.168,0.03406894835462382,0.0009473235137800419,0.23366005460625883,-0.3295455297944714,0.07656768991932189,0.03344316172735571,-0.858101895166162,-0.342861670906634
0.15,0.18,0.0347080581288114,0.0014661458139192062,0.22024354898585463,-0.3300581569715389,0.08851582177474845,0.06211406886102724,-0.9115671189411821,-0.3369601121246317
0.16,0.192,0.03541987359614979,0.0016915714218705292,0.2060201483260127,-0.32795911611738426,0.09919225818145985,0.09130735897127364,-0.9627955938347865,-0.3247871139465406
