time,marker_marker_hip_r_x,marker_marker_hip_r_y,marker_marker_hip_r_z,marker_marker_hip_l_x,marker_marker_hip_l_y,marker_marker_hip_l_z,marker_marker_shoulder_r_x,marker_marker_shoulder_r_y,marker_marker_shoulder_r_z,marker_marker_shoulder_l_x,marker_marker_shoulder_l_y,marker_marker_shoulder_l_z,marker_marker_knee_r_x,marker_marker_knee_r_y,marker_marker_knee_r_z,marker_marker_ankle_r_x,marker_marker_ankle_r_y,marker_marker_ankle_r_z,marker_marker_heel_r_x,marker_marker_heel_r_y,marker_marker_heel_r_z,marker_marker_toe_r_x,marker_marker_toe_r_y,marker_marker_toe_r_z,marker_marker_knee_l_x,marker_marker_knee_l_y,marker_marker_knee_l_z,marker_marker_ankle_l_x,marker_marker_ankle_l_y,marker_marker_ankle_l_z,marker_marker_heel_l_x,marker_marker_heel_l_y,marker_marker_heel_l_z,marker_marker_toe_l_x,marker_marker_toe_l_y,marker_marker_toe_l_z
0.0,0.019967327,0.94949675,0.031666666,0.019967327,0.94949675,-0.031666666,0.07346688,1.5601985,0.05277778,0.07346688,1.5601985,-0.05277778,0.15185687,0.56484807,0.02111111,0.26542795,0.11152157,0.02111111,0.1954538,0.030097041,0.015833333,0.43042934,0.09469759,0.015833333,-0.06782173,0.54327357,-0.02111111,-0.25767076,0.1129618,-0.02111111,-0.3596272,0.080538586,-0.015833333,-0.12159732,0.028303422,-0.015833333
0.01,0.032099083,0.9486934,0.031666666,0.032099083,0.9486934,-0.031666666,0.0831116,1.559608,0.05277778,0.0831116,1.559608,-0.05277778,0.16349435,0.5638313,0.02111111,0.2672674,0.10772002,0.02111111,0.1944286,0.028863613,0.015833333,0.4319893,0.08319256,0.015833333,-0.05609473,0.54243094,-0.02111111,-0.2558585,0.116226286,-0.02111111,-0.358732,0.08673077,-0.015833333,-0.12245616,0.027061261,-0.015833333
0.02,0.044242486,0.9480506,0.031666666,0.044242486,0.9480506,-0.031666666,0.09254007,1.5591857,0.05277778,0.09254007,1.5591857,-0.05277778,0.17434974,0.562685,0.02111111,0.2684607,0.10410079,0.02111111,0.19306704,0.027708422,0.015833333,0.43258363,0.0726364,0.015833333,-0.043605838,0.5416229,-0.02111111,-0.25369424,0.119966656,-0.02111111,-0.35749516,0.09375442,-0.015833333,-0.12349552,0.025703736,-0.015833333
0.03,0.05638752,0.9475844,0.031666666,0.05638752,0.9475844,-0.031666666,0.1019304,1.558931,0.05277778,0.1019304,1.558931,-0.05277778,0.18512593,0.56168866,0.02111111,0.26912996,0.1007615,0.02111111,0.19150303,0.026660658,0.015833333,0.4323979,0.063489825,0.015833333,-0.030041464,0.54082686,-0.02111111,-0.250909,0.12422195,-0.02111111,-0.3556249,0.101703286,-0.015833333,-0.12457572,0.024224252,-0.015833333
0.04,0.068527214,0.94731396,0.031666666,0.068527214,0.94731396,-0.031666666,0.111408666,1.5588529,0.05277778,0.111408666,1.5588529,-0.05277778,0.19615337,0.56098354,0.02111111,0.26914713,0.0977647,0.02111111,0.18973053,0.025582623,0.015833333,0.43144053,0.056614924,0.015833333,-0.015126646,0.5400387,-0.02111111,-0.24721958,0.12903795,-0.02111111,-0.35280672,0.110693105,-0.015833333,-0.12559542,0.022592254,-0.015833333
0.05,0.08065336,0.94724995,0.031666666,0.08065336,0.94724995,-0.031666666,0.12112425,1.5589533,0.05277778,0.12112425,1.5589533,-0.05277778,0.20737068,0.560562,0.02111111,0.26877296,0.09522894,0.02111111,0.18790124,0.024660647,0.015833333,0.43009365,0.051671334,0.015833333,0.0013980754,0.53926706,-0.02111111,-0.2422887,0.13444507,-0.02111111,-0.34865463,0.120828435,-0.015833333,-0.12645158,0.020765744,-0.015833333
0.06,0.09274049,0.947351,0.031666666,0.09274049,0.947351,-0.031666666,0.13154256,1.5591624,0.05277778,0.13154256,1.5591624,-0.05277778,0.21966848,0.56071156,0.02111111,0.26831418,0.09336412,0.02111111,0.18630606,0.024088044,0.015833333,0.42871535,0.049077347,0.015833333,0.019982848,0.5384847,-0.02111111,-0.23553407,0.14040011,-0.02111111,-0.34251273,0.13212802,-0.015833333,-0.12683138,0.01868949,-0.015833333
0.07,0.10480998,0.9476553,0.031666666,0.10480998,0.9476553,-0.031666666,0.14227873,1.5595498,0.05277778,0.14227873,1.5595498,-0.05277778,0.23175892,0.5610026,0.02111111,0.26776987,0.09204146,0.02111111,0.18482733,0.023870952,0.015833333,0.4273477,0.04775826,0.015833333,0.0403238,0.5378393,-0.02111111,-0.22683878,0.1468614,-0.02111111,-0.33416364,0.1446008,-0.015833333,-0.12698898,0.016283303,-0.015833333
0.08,0.11687782,0.94816893,0.031666666,0.11687782,0.94816893,-0.031666666,0.15304297,1.5601419,0.05277778,0.15304297,1.5601419,-0.05277778,0.24265313,0.561083,0.02111111,0.2672072,0.09102166,0.02111111,0.1834085,0.023910977,0.015833333,0.42604554,0.046582885,0.015833333,0.062027656,0.5374563,-0.02111111,-0.21605772,0.15361372,-0.02111111,-0.32332638,0.15802641,-0.015833333,-0.12716112,0.013437614,-0.015833333
0.09,0.12894288,0.94885343,0.031666666,0.12894288,0.94885343,-0.031666666,0.163856,1.560899,0.05277778,0.163856,1.560899,-0.05277778,0.25235474,0.56092715,0.02111111,0.26665837,0.090180784,0.02111111,0.1820795,0.024073504,0.015833333,0.42483526,0.04543648,0.015833333,0.08468989,0.5374085,-0.02111111,-0.20294496,0.16020605,-0.02111111,-0.30959246,0.17186432,-0.015833333,-0.12742662,0.009992942,-0.015833333
